repository,issue_creator,author,number,title,state,createdAt
aeozbek-task-1,aeozbek,aeozbek,5,Exercise 1.5 -- Average,CLOSED,2025-09-03T13:47:20Z
aeozbek-task-1,aeozbek,aeozbek,4,Exercise 1.4 -- Difference,CLOSED,2025-09-03T13:46:37Z
aeozbek-task-1,aeozbek,aeozbek,3,Exercise 1.3 -- Sum,CLOSED,2025-09-03T13:46:01Z
aeozbek-task-1,aeozbek,aeozbek,2,Exercise 1.2 -- Arithmetic.java!,CLOSED,2025-09-03T13:45:16Z
aeozbek-task-1,aeozbek,aeozbek,1,"Exercise 1.1 -- Hello, World!",CLOSED,2025-09-03T13:43:30Z
markow-task-1,markow,markow,1,Assignment,CLOSED,2025-09-03T18:57:53Z
timhedl-task-1,timhedl,timhedl,6,i made average excercise 1.5 ,OPEN,2025-09-02T12:49:43Z
timhedl-task-1,timhedl,timhedl,5,1.4 i made minus!,OPEN,2025-09-02T12:46:37Z
timhedl-task-1,timhedl,timhedl,4,i have done 1.3 yay!,OPEN,2025-09-02T12:43:08Z
timhedl-task-1,timhedl,timhedl,3,i am starting excersice 1.2,OPEN,2025-09-02T12:24:34Z
timhedl-task-1,timhedl,timhedl,2,Issue for 1.1,OPEN,2025-09-02T12:22:26Z
timhedl-task-1,timhedl,timhedl,1,I will solve these problems!,OPEN,2025-09-02T11:39:39Z
hugoco-task-1,hugoco,hugoco,4,Exercise 1.4 -- Difference,CLOSED,2025-09-03T16:53:28Z
hugoco-task-1,hugoco,hugoco,3,Exercise 1.3 -- Sum,CLOSED,2025-09-03T16:53:25Z
hugoco-task-1,hugoco,hugoco,2,Exercise 1.2 -- Arithmetic.java!,CLOSED,2025-09-03T16:53:23Z
hugoco-task-1,hugoco,hugoco,1,"Exercise 1.1 -- Hello, World!",CLOSED,2025-09-03T16:53:03Z
marioo-task-1,marioo,marioo,1,My first issue,CLOSED,2025-09-02T11:35:15Z
lokehu-task-1,lokehu,lokehu,5,Exercise 1.5 -- Average,CLOSED,2025-09-02T18:55:11Z
lokehu-task-1,lokehu,lokehu,4,Exercise 1.4 -- Difference,CLOSED,2025-09-02T18:25:59Z
lokehu-task-1,lokehu,lokehu,3,Exercise 1.3 -- Sum,CLOSED,2025-09-02T18:10:07Z
lokehu-task-1,lokehu,lokehu,2,Exercise 1.2 -- Arithmetic.java!,CLOSED,2025-09-02T17:57:54Z
lokehu-task-1,lokehu,lokehu,1,"Exercise 1.1 -- Hello, World!",CLOSED,2025-09-02T17:48:29Z
leosjos-task-1,leosjos,leosjos,5,Exercise 1.5 -- Average,CLOSED,2025-09-02T17:24:12Z
leosjos-task-1,leosjos,leosjos,4,Exercise 1.4 -- Difference,CLOSED,2025-09-02T17:16:46Z
leosjos-task-1,leosjos,leosjos,3,Exercise 1.3 -- Sum,CLOSED,2025-09-02T17:03:38Z
leosjos-task-1,leosjos,leosjos,2,Exercise 1.2 -- Arithmetic.java!,CLOSED,2025-09-02T17:01:00Z
leosjos-task-1,leosjos,leosjos,1,"Exercise 1.1 -- Hello, World!",CLOSED,2025-09-02T16:21:22Z
